Price,Close,High,Low,Open,Volume,Daily_Change_%,MA_7,MA_30,High_Low_Diff
2020-02-13,53.59999847412109,54.53333282470703,49.0,49.45600128173828,394339500.0,4.78436525517798,50.93980952671596,40.261288770039876,5.533332824707031
2020-02-14,53.33533477783203,54.198001861572266,52.36666870117188,52.4813346862793,235405500.0,-0.49377556683484203,51.5620002746582,41.08299992879232,1.8313331604003835
2020-02-18,57.22666549682617,57.33333206176758,55.490665435791016,56.106666564941406,245725500.0,7.29597130158357,52.6042856488909,42.00608876546224,1.8426666259765625
2020-02-19,61.16133117675781,62.98533248901367,60.06800079345703,61.56666564941406,381345000.0,6.8755808953255615,54.21714237758091,43.04137757619222,2.9173316955566406
2020-02-20,59.96066665649414,60.79999923706055,57.3293342590332,60.79666519165039,264523500.0,-1.9631105097986157,55.43742806570871,43.997710927327475,3.4706649780273438
2020-02-21,60.06666564941406,60.87066650390625,58.6966667175293,60.46533203125,214722000.0,0.17678087791648256,56.64333289010184,44.906288655598956,2.173999786376953
2020-02-24,55.58599853515625,57.56666564941406,54.81333160400391,55.93333435058594,227883000.0,-7.459490327646511,57.27666582380022,45.689510854085285,2.753334045410149
2020-02-25,53.32733154296875,57.106666564941406,52.46666717529297,56.59999847412109,259357500.0,-4.06337396414489,57.23771340506418,46.404533004760744,4.6399993896484375
2020-02-26,51.91999816894531,54.22066879272461,51.740665435791016,52.16666793823242,211282500.0,-2.6390470576789893,57.0355224609375,46.96884409586588,2.4800033569335938
2020-02-27,45.26666641235352,49.31800079345703,44.59999847412109,48.66666793823242,364158000.0,-12.814583958462688,55.32695116315569,47.282355244954424,4.718002319335945
2020-02-28,44.53266525268555,46.03466796875,40.76800155639648,41.97999954223633,363343500.0,-1.6215047800994253,52.9514274597168,47.614555231730144,5.266666412353523
2020-03-02,49.574668884277344,49.5793342590332,45.77799987792969,47.41733169555664,302925000.0,11.322034293215232,51.46771349225725,48.12595532735189,3.8013343811035156
2020-03-03,49.70066833496094,53.79866790771485,47.740665435791016,53.66666793823242,386760000.0,0.25416095259802596,49.98685673304966,48.64819984436035,6.058002471923835
2020-03-04,49.96666717529297,51.10133361816406,48.31533432006836,50.93066787719727,225735000.0,0.5352017372066697,49.184095110212056,49.097755432128906,2.785999298095703
2020-03-05,48.30266571044922,49.71666717529297,47.87133407592773,48.2513313293457,162790500.0,-3.3302230445070524,48.466285705566406,49.442155329386395,1.8453330993652415
2020-03-06,46.89866638183594,47.133331298828125,45.61800003051758,46.0,189943500.0,-2.9066704869448956,47.74895259312221,49.73388862609863,1.5153312683105469
2020-03-09,40.53333282470703,44.20000076293945,40.33333206176758,40.35933303833008,256105500.0,-13.572525720249962,47.07276208060129,49.82984415690104,3.866668701171875
2020-03-10,43.02199935913086,44.53333282470703,40.53333282470703,43.96200180053711,233916000.0,6.139802382366311,46.85695266723633,50.02386639912923,4.0
2020-03-11,42.28200149536133,43.571998596191406,40.86666870117188,42.68000030517578,199837500.0,-1.7200452670558586,45.81514304024832,50.173488744099934,2.705329895019524
2020-03-12,37.369998931884766,39.633331298828125,36.41666793823242,38.72600173950195,283636500.0,-11.617242301113507,44.05361883980887,50.12806650797526,3.216663360595703
2020-03-13,36.44133377075195,40.50466537475586,33.46666717529297,39.66666793823242,339604500.0,-2.48505535904755,42.12142835344587,49.91875534057617,7.037998199462891
